id,name,city,country,faa,icao,alt,tz-offset,dst,tz,longitude,latitude
"738",Stockholm-Bromma Airport,Stockholm,Sweden,BMA,ESSB,"47","1",E,Europe/Stockholm,17.9417,59.354401
"739",Borlange Airport,Borlange,Sweden,BLE,ESSD,"503","1",E,Europe/Stockholm,15.5152,60.422001
"740",Hultsfred Airport,Hultsfred,Sweden,HLF,ESSF,"366","1",E,Europe/Stockholm,15.8233,57.525799
"741",Gävle Sandviken Airport,Gavle,Sweden,GVX,ESSK,"224","1",E,Europe/Stockholm,16.951401,60.5933
"742",Linköping City Airport,Linkoeping,Sweden,LPI,ESSL,"172","1",E,Europe/Stockholm,15.6805,58.4062
"743",Norrköping Airport,Norrkoeping,Sweden,NRK,ESSP,"32","1",E,Europe/Stockholm,16.250601,58.5863
"745",Eskilstuna Airport,Eskilstuna,Sweden,EKT,ESSU,"139","1",E,Europe/Stockholm,16.708401,59.351101
"746",Visby Airport,Visby,Sweden,VBY,ESSV,"164","1",E,Europe/Stockholm,18.346201,57.6628
"748",Kalixfors Airport,Kalixfors,Sweden,\N,ESUK,"1549","1",E,Europe/Stockholm,20.2572,67.764801
"750",Spangdahlem Air Base,Spangdahlem,Germany,SPM,ETAD,"1197","1",E,Europe/Berlin,6.6925,49.972698
"751",Ramstein Air Base,Ramstein,Germany,RMS,ETAR,"776","1",E,Europe/Berlin,7.60028,49.436901
"753",[Duplicate] Giebelstadt Army Air Field,Giebelstadt,Germany,GHF,ETEU,"980","1",E,Europe/Berlin,9.96649,49.648102
"754",Bückeburg Air Base,Brueckeburg,Germany,\N,ETHB,"230","1",E,Europe/Berlin,9.08217,52.2785
"755",Celle Airport,Celle,Germany,ZCN,ETHC,"129","1",E,Europe/Berlin,10.0221,52.591202
"756",Rheine Bentlage Air Base,Rheine-brentlange,Germany,\N,ETHE,"129","1",E,Europe/Berlin,7.387,52.291199
"757",Fritzlar Airport,Fritzlar,Germany,FRZ,ETHF,"1345","1",E,Europe/Berlin,9.286,51.1146
"758",Laupheim Air Base,Laupheim,Germany,\N,ETHL,"1766","1",E,Europe/Berlin,9.91002,48.220299
"759",Mendig Airfield,Mendig,Germany,\N,ETHM,"597","1",E,Europe/Berlin,7.31533,50.366001
"760",Niederstetten Army Air Base,Niederstetten,Germany,\N,ETHN,"1339","1",E,Europe/Berlin,9.958889,49.391945
"761",Roth Airport,Roth,Germany,\N,ETHR,"1268","1",E,Europe/Berlin,11.1002,49.217499
"762",Fassberg Air Base,Fassberg,Germany,\N,ETHS,"245","1",E,Europe/Berlin,10.185827,52.919399
"763",Grafenwohr Army Air Field,Grafenwoehr,Germany,\N,ETIC,"1363","1",E,Europe/Berlin,11.9402,49.6987
"764",Hanau Army Air Field,Hanau,Germany,ZNF,ETID,"368","1",E,Europe/Berlin,8.96159,50.169201
"765",Hohenfels Army Air Field,Hohenfels,Germany,\N,ETIH,"1455","1",E,Europe/Berlin,11.8361,49.218102
"766",Flugplatz Kitzingen,Kitzingen,Germany,KZG,ETIN,"689","1",E,Europe/Berlin,10.2006,49.743099
"767",Nordholz Naval Airbase,Nordholz,Germany,FCN,ETMN,"74","1",E,Europe/Berlin,8.6585,53.7677
"768",Diepholz Air Base,Diepholz,Germany,\N,ETND,"128","1",E,Europe/Berlin,8.342222,52.585556
"769",Geilenkirchen Air Base,Geilenkirchen,Germany,GKE,ETNG,"296","1",E,Europe/Berlin,6.04242,50.9608
"770",Hohn Air Base,Hohn,Germany,\N,ETNH,"39","1",E,Europe/Berlin,9.53817,54.312199
"771",Jever Air Base,Jever,Germany,\N,ETNJ,"24","1",E,Europe/Berlin,7.88867,53.533501
"772",Rostock-Laage Airport,Laage,Germany,RLG,ETNL,"138","1",E,Europe/Berlin,12.2783,53.918201
"773",Nörvenich Air Base,Noervenich,Germany,\N,ETNN,"386","1",E,Europe/Berlin,6.65817,50.8312
"774",Schleswig Air Base,Schleswig,Germany,WBG,ETNS,"70","1",E,Europe/Berlin,9.51633,54.459301
"775",Wittmundhafen Airport,Wittmundhafen,Germany,\N,ETNT,"26","1",E,Europe/Berlin,7.66733,53.547798
"777",Wunstorf Air Base,Wunstorf,Germany,\N,ETNW,"187","1",E,Europe/Berlin,9.42717,52.457298
"778",Vilseck Army Air Field,Vilseck,Germany,\N,ETOI,"1353","1",E,Europe/Berlin,11.7672,49.633598
"779",Coleman Army Air Field,Coleman,Germany,\N,ETOR,"309","1",E,Europe/Berlin,8.46339,49.563599
"780",Wiesbaden Army Airfield,Wiesbaden,Germany,WIE,ETOU,"461","1",E,Europe/Berlin,8.3254,50.049801
"781",Landsberg Lech Air Base,Landsberg,Germany,\N,ETSA,"2044","1",E,Europe/Berlin,10.906,48.070599
"782",Büchel Air Base,Buechel,Germany,\N,ETSB,"1568","1",E,Europe/Berlin,7.06333,50.173801
"783",Erding Airport,Erding,Germany,\N,ETSE,"1515","1",E,Europe/Berlin,11.9487,48.3223
"784",Fürstenfeldbruck Air Base,Fuerstenfeldbruck,Germany,FEL,ETSF,"1703","1",E,Europe/Berlin,11.266944,48.205555
"785",Holzdorf Air Base,Holzdorf,Germany,\N,ETSH,"265","1",E,Europe/Berlin,13.1677,51.767799
"786",Ingolstadt Manching Airport,Ingolstadt,Germany,IGS,ETSI,"1202","1",E,Europe/Berlin,11.534,48.715698
"787",Lechfeld Air Base,Lechfeld,Germany,\N,ETSL,"1822","1",E,Europe/Berlin,10.8612,48.185504
"788",Neuburg AFB,Neuburg,Germany,\N,ETSN,"1249","1",E,Europe/Berlin,11.2115,48.710999
"789",Gütersloh Air Base,Guetersloh,Germany,GUT,ETUO,"236","1",E,Europe/Berlin,8.30633,51.922798
"790",Alexander Bay Airport,Alexander Bay,South Africa,ALJ,FAAB,"98","2",U,Africa/Johannesburg,16.5333,-28.575001
"791",Aggeneys Airport,Aggeneys,South Africa,AGZ,FAAG,"2648","2",U,Africa/Johannesburg,18.8139,-29.281799
"792",Brakpan Airport,Brakpan,South Africa,\N,FABB,"5300","2",U,Africa/Johannesburg,28.3018,-26.2386
"793",Bisho Airport,Bisho,South Africa,BIY,FABE,"1950","2",U,Africa/Johannesburg,27.2791,-32.897099
"794",Bram Fischer International Airport,Bloemfontein,South Africa,BFN,FABL,"4458","2",U,Africa/Johannesburg,26.302401,-29.092699
"795",Bethlehem Airport,Bethlehem,South Africa,\N,FABM,"5561","2",U,Africa/Johannesburg,28.3361,-28.2484
"796",Hendrik Potgieter Airport,Bothaville,South Africa,\N,FABO,"4236","2",U,Africa/Johannesburg,26.6292,-27.3668
"797",Cape Town International Airport,Cape Town,South Africa,CPT,FACT,"151","2",U,Africa/Johannesburg,18.6017,-33.964802
"798",Calvinia Airport,Calvinia,South Africa,\N,FACV,"3250","2",U,Africa/Johannesburg,19.725901,-31.500299
"799",King Shaka International Airport,Durban,South Africa,DUR,FALE,"295","2",U,Africa/Johannesburg,31.119722,-29.614444
"800",Ben Schoeman Airport,East London,South Africa,ELS,FAEL,"435","2",U,Africa/Johannesburg,27.825899,-33.035599
"801",Ermelo Airport,Ermelo,South Africa,\N,FAEO,"5700","2",U,Africa/Johannesburg,29.979799,-26.4956
"802",Ficksburg Sentraoes Airport,Ficksburg,South Africa,FCB,FAFB,"5315","2",U,Africa/Johannesburg,27.908899,-28.823099
"803",Grand Central Airport,Johannesburg,South Africa,GCJ,FAGC,"5325","2",U,Africa/Johannesburg,28.1401,-25.9863
"804",George Airport,George,South Africa,GRJ,FAGG,"648","2",U,Africa/Johannesburg,22.378902,-34.0056
"806",Graaff Reinet Airport,Graaff Reinet,South Africa,\N,FAGR,"2604","2",U,Africa/Johannesburg,24.541401,-32.1936
"807",Grahamstown Airport,Grahamstown,South Africa,\N,FAGT,"2135","2",U,Africa/Johannesburg,26.4981,-33.284698
"808",Greytown Airport,Greytown,South Africa,\N,FAGY,"3531","2",U,Africa/Johannesburg,30.5867,-29.122
"809",Harmony Airport,Harmony,South Africa,\N,FAHA,"4399","2",U,Africa/Johannesburg,26.8612,-28.078699
"810",Harrismith Airport,Harrismith,South Africa,HRS,FAHR,"5585","2",U,Africa/Johannesburg,29.106199,-28.2351
"811",Hoedspruit Air Force Base Airport,Hoedspruit,South Africa,HDS,FAHS,"1743","2",U,Africa/Johannesburg,31.0487,-24.368601
"812",Gariep Dam Airport,Hendrik Verwoerddam,South Africa,\N,FAHV,"4176","2",U,Africa/Johannesburg,25.528299,-30.562201
"813",OR Tambo International Airport,Johannesburg,South Africa,JNB,FAOR,"5558","2",U,Africa/Johannesburg,28.246,-26.1392
"814",P C Pelser Airport,Klerksdorp,South Africa,KXE,FAKD,"4444","2",U,Africa/Johannesburg,26.718,-26.871099
"815",Kimberley Airport,Kimberley,South Africa,KIM,FAKM,"3950","2",U,Africa/Johannesburg,24.7652,-28.802799
"816",Krugersdorp Airport,Krugersdorp,South Africa,\N,FAKR,"5499","2",U,Africa/Johannesburg,27.725915,-26.080826
"817",Kroonstad Airport,Kroonstad,South Africa,\N,FAKS,"4700","2",U,Africa/Johannesburg,27.3158,-27.660601
"818",Johan Pienaar Airport,Kuruman,South Africa,KMH,FAKU,"4382","2",U,Africa/Johannesburg,23.4114,-27.456699
"819",Kleinsee Airport,Kleinsee,South Africa,KLZ,FAKZ,"270","2",U,Africa/Johannesburg,17.094,-29.6884
"820",Lanseria Airport,Johannesburg,South Africa,HLA,FALA,"4517","2",U,Africa/Johannesburg,27.9261,-25.938499
"821",Lichtenburg Airport,Lichtenburg,South Africa,\N,FALI,"4875","2",U,Africa/Johannesburg,26.184601,-26.175699
"822",Makhado Air Force Base Airport,Lambertsbaai,South Africa,\N,FALM,"3069","2",U,Africa/Johannesburg,29.696501,-23.159901
"823",Langebaanweg Airport,Langebaanweg,South Africa,SDB,FALW,"108","2",U,Africa/Johannesburg,18.160299,-32.968899
"824",Ladysmith Airport,Ladysmith,South Africa,LAY,FALY,"3548","2",U,Africa/Johannesburg,29.749701,-28.581699
"825",Middelburg Airport,Middelburg,South Africa,\N,FAMB,"4886","2",U,Africa/Johannesburg,29.440201,-25.684799
"827",Margate Airport,Margate,South Africa,MGH,FAMG,"495","2",U,Africa/Johannesburg,30.343,-30.857401
"828",Marble Hall Airport,Marble Hall,South Africa,\N,FAMI,"2980","2",U,Africa/Johannesburg,29.2831,-24.9891
"829",Majuba Power Station Airport,Majuba Power Station,South Africa,\N,FAMJ,"5600","2",U,Africa/Johannesburg,29.7785,-27.0793
"831",Riverside Airport,Malalane,South Africa,LLE,FAMN,"1024","2",U,Africa/Johannesburg,31.5767,-25.43
"832",Morningside Farm Airport,Musina,South Africa,\N,FAMS,"4251","2",U,Africa/Johannesburg,26.909,-25.7045
"833",Mkuze Airport,Mkuze,South Africa,MZQ,FAMU,"400","2",U,Africa/Johannesburg,32.0443,-27.626101
"834",Newcastle Airport,Newcastle,South Africa,NCS,FANC,"4074","2",U,Africa/Johannesburg,29.9769,-27.770599
"835",Nylstroom Airfield,Nylstroom,South Africa,\N,FANY,"3900","2",U,Africa/Johannesburg,28.4349,-24.6861
"836",Overberg Airport,Overberg,South Africa,OVG,FAOB,"52","2",U,Africa/Johannesburg,20.2507,-34.554901
"837",Oudtshoorn Airport,Oudtshoorn,South Africa,OUH,FAOH,"1063","2",U,Africa/Johannesburg,22.188999,-33.606998
"838",Port Elizabeth Airport,Port Elizabeth,South Africa,PLZ,FAPE,"226","2",U,Africa/Johannesburg,25.6173,-33.984901
"839",Plettenberg Bay Airport,Plettenberg Bay,South Africa,PBZ,FAPG,"465","2",U,Africa/Johannesburg,23.328723,-34.08816
"840",Hendrik Van Eck Airport,Phalaborwa,South Africa,PHW,FAPH,"1432","2",U,Africa/Johannesburg,31.155399,-23.937201
"841",Pietersburg Municipal Airport,Polokwane,South Africa,\N,FAPI,"4354","2",U,Africa/Johannesburg,29.4844,-23.9261
"842",Port St Johns Airport,Port Saint Johns,South Africa,JOH,FAPJ,"1227","2",U,Africa/Johannesburg,29.5198,-31.6059
"843",Pietermaritzburg Airport,Pietermaritzburg,South Africa,PZB,FAPM,"2423","2",U,Africa/Johannesburg,30.398701,-29.649
"844",Pilanesberg International Airport,Pilanesberg,South Africa,NTY,FAPN,"3412","2",U,Africa/Johannesburg,27.173401,-25.333799
"845",Polokwane International Airport,Potgietersrus,South Africa,PTG,FAPP,"4076","2",U,Africa/Johannesburg,29.458615,-23.845269
"846",Potchefstroom Airport,Potchefstroom,South Africa,PCF,FAPS,"4520","2",U,Africa/Johannesburg,27.0819,-26.671
"847",Parys Airport,Parys,South Africa,\N,FAPY,"4740","2",U,Africa/Johannesburg,27.503401,-26.889299
"848",Queenstown Airport,Queenstown,South Africa,UTW,FAQT,"3637","2",U,Africa/Johannesburg,26.8822,-31.9202
"849",Richards Bay Airport,Richard's Bay,South Africa,RCB,FARB,"109","2",U,Africa/Johannesburg,32.092098,-28.740999
"850",Rustenburg Airport,Rustenburg,South Africa,\N,FARG,"3700","2",U,Africa/Johannesburg,27.271099,-25.6443
"851",Robertson Airport,Robertson,South Africa,ROD,FARS,"640","2",U,Africa/Johannesburg,19.9028,-33.812199
"852",Springbok Airport,Springbok,South Africa,SBU,FASB,"2690","2",U,Africa/Johannesburg,17.9396,-29.689301
"853",Secunda Airport,Secunda,South Africa,ZEC,FASC,"5250","2",U,Africa/Johannesburg,29.170099,-26.524099
"854",Saldanha /Vredenburg Airport,Saldanha,South Africa,\N,FASD,"50","2",U,Africa/Johannesburg,17.969299,-32.9641
"855",Springs Airfield,Springs,South Africa,\N,FASI,"5340","2",U,Africa/Johannesburg,28.398272,-26.2494
"856",Swartkop Air Force Base,Swartkop,South Africa,\N,FASK,"4780","2",U,Africa/Johannesburg,28.1646,-25.8097
"857",Sishen Airport,Sishen,South Africa,SIS,FASS,"3848","2",U,Africa/Johannesburg,22.9993,-27.6486
"858",Hendrik Swellengrebel Airport,Swellendam,South Africa,\N,FASX,"407","2",U,Africa/Johannesburg,20.4746,-34.048199
"859",Skukuza Airport,Skukuza,South Africa,SZK,FASZ,"1020","2",U,Africa/Johannesburg,31.588699,-24.960899
"860",Tommys Field Airport,Tommy's Field,South Africa,\N,FATF,"4360","2",U,Africa/Johannesburg,22.9932,-28.26
"861",New Tempe Airport,Bloemfontein,South Africa,\N,FATP,"4547","2",U,Africa/Johannesburg,26.1576,-29.0329
"862",Tutuka Power Station Airport,Tutuka,South Africa,\N,FATT,"5313","2",U,Africa/Johannesburg,29.3388,-26.7766
"863",Tzaneen Airport,Tzaneen,South Africa,LTA,FATZ,"1914","2",U,Africa/Johannesburg,30.3293,-23.8244
"864",Prince Mangosuthu Buthelezi Airport,Ulundi,South Africa,ULD,FAUL,"1720","2",U,Africa/Johannesburg,31.4165,-28.320601
"865",Pierre Van Ryneveld Airport,Upington,South Africa,UTN,FAUP,"2782","2",U,Africa/Johannesburg,21.260201,-28.399099
"866",K. D. Matanzima Airport,Umtata,South Africa,UTT,FAUT,"2400","2",U,Africa/Johannesburg,28.673355,-31.546363
"867",Vryburg Airport,Vryburg,South Africa,VRU,FAVB,"3920","2",U,Africa/Johannesburg,24.7288,-26.982401
"868",Virginia Airport,Durban,South Africa,VIR,FAVG,"20","2",U,Africa/Johannesburg,31.058399,-29.770599
"869",Vredendal Airport,Vredendal,South Africa,VRE,FAVR,"330","2",U,Africa/Johannesburg,18.5448,-31.641001
"870",Vereeniging Airport,Vereeniging,South Africa,\N,FAVV,"4846","2",U,Africa/Johannesburg,27.9608,-26.566401
"871",Wonderboom Airport,Pretoria,South Africa,PRY,FAWB,"4095","2",U,Africa/Johannesburg,28.224199,-25.6539
"872",Witbank Airport,Witbank,South Africa,\N,FAWI,"5078","2",U,Africa/Johannesburg,29.191999,-25.8323
"873",Waterkloof Air Force Base,Waterkloof,South Africa,WKF,FAWK,"4940","2",U,Africa/Johannesburg,28.2225,-25.83
"874",Welkom Airport,Welkom,South Africa,\N,FAWM,"4421","2",U,Africa/Johannesburg,26.663334,-27.996825
"875",Ysterplaat Air Force Base,Ysterplaat,South Africa,\N,FAYP,"52","2",U,Africa/Johannesburg,18.498301,-33.9002
"876",Zeerust Airport,Zeerust,South Africa,\N,FAZR,"4258","2",U,Africa/Johannesburg,26.042299,-25.599001
"877",Francistown Airport,Francistown,Botswana,FRW,FBFT,"3283","2",U,Africa/Gaborone,27.474501,-21.159599
"878",Jwaneng Airport,Jwaneng,Botswana,JWA,FBJW,"3900","2",U,Africa/Gaborone,24.691,-24.602301
"879",Kasane Airport,Kasane,Botswana,BBK,FBKE,"3289","2",U,Africa/Gaborone,25.162399,-17.832899
"880",Maun Airport,Maun,Botswana,MUB,FBMN,"3093","2",U,Africa/Gaborone,23.431101,-19.972601
"881",Sir Seretse Khama International Airport,Gaberone,Botswana,GBE,FBSK,"3299","2",U,Africa/Gaborone,25.9182,-24.555201
"882",Selebi Phikwe Airport,Selebi-phikwe,Botswana,PKW,FBSP,"2925","2",U,Africa/Gaborone,27.8288,-22.0583
"883",Maya-Maya Airport,Brazzaville,Congo (Brazzaville),BZV,FCBB,"1048","1",N,Africa/Brazzaville,15.253,-4.2517
"884",Owando Airport,Owando,Congo (Kinshasa),FTX,FCOO,"1214","1",N,Africa/Brazzaville,15.9501,-0.53135
"885",Ouesso Airport,Ouesso,Congo (Kinshasa),OUE,FCOU,"1158","1",N,Africa/Brazzaville,16.037901,1.61599
"886",Pointe Noire Airport,Pointe-noire,Congo (Brazzaville),PNR,FCPP,"55","1",N,Africa/Brazzaville,11.8866,-4.81603
"887",Matsapha Airport,Manzini,Swaziland,MTS,FDMS,"2075","2",U,Africa/Mbabane,31.307501,-26.528999
"888",Bangui M'Poko International Airport,Bangui,Central African Republic,BGF,FEFF,"1208","1",N,Africa/Bangui,18.518801,4.39848
"889",Berbérati Airport,Berberati,Central African Republic,BBT,FEFT,"1929","1",N,Africa/Bangui,15.7864,4.22158
"890",Bata Airport,Bata,Equatorial Guinea,BSG,FGBT,"13","1",N,Africa/Malabo,9.80568,1.90547
"891",Malabo Airport,Malabo,Equatorial Guinea,SSG,FGSL,"76","1",N,Africa/Malabo,8.70872,3.75527
"892",RAF Ascension Island,Wide Awake,Saint Helena,ASI,FHAW,"278","0",N,Atlantic/St_Helena,-14.3937,-7.9696
"893",Sir Seewoosagur Ramgoolam International Airport,Plaisance,Mauritius,MRU,FIMP,"186","4",N,Indian/Mauritius,57.683601,-20.430201
"894",Sir Charles Gaetan Duval Airport,Rodriguez Island,Mauritius,RRG,FIMR,"95","4",N,Indian/Mauritius,63.361,-19.7577
"895",Diego Garcia Naval Support Facility,Diego Garcia Island,British Indian Ocean Territory,NKW,FJDG,"9","6",U,Indian/Chagos,72.411102,-7.31327
"896",Tiko Airport,Tiko,Cameroon,TKC,FKKC,"151","1",N,Africa/Douala,9.36053,4.08919
"897",Douala International Airport,Douala,Cameroon,DLA,FKKD,"33","1",N,Africa/Douala,9.71948,4.00608
"898",Salak Airport,Maroua,Cameroon,MVR,FKKL,"1390","1",N,Africa/Douala,14.2574,10.4514
"899",Foumban Nkounja Airport,Foumban,Cameroon,FOM,FKKM,"3963","1",N,Africa/Douala,10.7508,5.63692
"900",N'Gaoundéré Airport,N'gaoundere,Cameroon,NGE,FKKN,"3655","1",N,Africa/Douala,13.5592,7.35701
"901",Garoua International Airport,Garoua,Cameroon,GOU,FKKR,"794","1",N,Africa/Douala,13.3701,9.33589
"902",Bafoussam Airport,Bafoussam,Cameroon,BFX,FKKU,"4347","1",N,Africa/Douala,10.3546,5.53692
"903",Bamenda Airport,Bamenda,Cameroon,BPC,FKKV,"4065","1",N,Africa/Douala,10.1226,6.03924
"904",Yaoundé Airport,Yaounde,Cameroon,YAO,FKKY,"2464","1",N,Africa/Douala,11.5235,3.83604
"905",Kasompe Airport,Kasompe,Zambia,CGJ,FLKE,"4636","2",U,Africa/Lusaka,27.8939,-12.5728
"906",Livingstone Airport,Livingstone,Zambia,LVI,FLLI,"3302","2",U,Africa/Lusaka,25.822701,-17.8218
"907",Kenneth Kaunda International Airport Lusaka,Lusaka,Zambia,LUN,FLLS,"3779","2",U,Africa/Lusaka,28.4526,-15.3308
"908",Mfuwe Airport,Mfuwe,Zambia,MFU,FLMF,"1853","2",U,Africa/Lusaka,31.9366,-13.2589
"909",Mongu Airport,Mongu,Zambia,MNR,FLMG,"3488","2",U,Africa/Lusaka,23.1623,-15.2545
"910",Simon Mwansa Kapwepwe International Airport,Ndola,Zambia,NLA,FLND,"4167","2",U,Africa/Lusaka,28.6649,-12.9981
"911",Southdowns Airport,Southdowns,Zambia,KIW,FLSO,"4145","2",U,Africa/Lusaka,28.1499,-12.9005
"912",Prince Said Ibrahim International Airport,Moroni,Comoros,HAH,FMCH,"93","3",U,Indian/Comoro,43.2719,-11.5337
"913",Mohéli Bandar Es Eslam Airport,Moheli,Comoros,NWA,FMCI,"46","3",U,Indian/Comoro,43.766399,-12.2981
"914",Ouani Airport,Anjouan,Comoros,AJN,FMCV,"62","3",U,Indian/Comoro,44.430302,-12.1317
"915",Dzaoudzi Pamandzi International Airport,Dzaoudzi,Mayotte,DZA,FMCZ,"23","3",U,Indian/Mayotte,45.281101,-12.8047
"916",Roland Garros Airport,St.-denis,Reunion,RUN,FMEE,"66","4",U,Indian/Reunion,55.5103,-20.8871
"917",Pierrefonds Airport,St.-pierre,Reunion,ZSE,FMEP,"59","4",U,Indian/Reunion,55.424999,-21.3209
"918",Ivato Airport,Antananarivo,Madagascar,TNR,FMMI,"4198","3",U,Indian/Antananarivo,47.478802,-18.7969
"919",Miandrivazo Airport,Miandrivazo,Madagascar,ZVA,FMMN,"203","3",U,Indian/Antananarivo,45.450802,-19.562799
"920",Sainte Marie Airport,Sainte Marie,Madagascar,SMS,FMMS,"7","3",U,Indian/Antananarivo,49.8158,-17.093901
"921",Toamasina Airport,Toamasina,Madagascar,TMM,FMMT,"22","3",U,Indian/Antananarivo,49.392502,-18.109501
"922",Morondava Airport,Morondava,Madagascar,MOQ,FMMV,"30","3",U,Indian/Antananarivo,44.3176,-20.2847
"923",Arrachart Airport,Antsiranana,Madagascar,DIE,FMNA,"374","3",U,Indian/Antananarivo,49.291698,-12.3494
"924",Mananara Nord Airport,Mananara,Madagascar,WMR,FMNC,"9","3",U,Indian/Antananarivo,49.7738,-16.1639
"925",Andapa Airport,Andapa,Madagascar,ZWA,FMND,"1552","3",U,Indian/Antananarivo,49.620602,-14.6517
"926",Ambilobe Airport,Ambilobe,Madagascar,AMB,FMNE,"72","3",U,Indian/Antananarivo,48.987999,-13.1884
"927",Antsirabato Airport,Antalaha,Madagascar,ANM,FMNH,"20","3",U,Indian/Antananarivo,50.320202,-14.9994
"928",Analalava Airport,Analalava,Madagascar,HVA,FMNL,"345","3",U,Indian/Antananarivo,47.763802,-14.6297
"929",Amborovy Airport,Mahajanga,Madagascar,MJN,FMNM,"87","3",U,Indian/Antananarivo,46.351233,-15.666842
"930",Fascene Airport,Nosy-be,Madagascar,NOS,FMNN,"36","3",U,Indian/Antananarivo,48.3148,-13.3121
"931",Besalampy Airport,Besalampy,Madagascar,BPY,FMNQ,"125","3",U,Indian/Antananarivo,44.482484,-16.74453
"932",Maroantsetra Airport,Maroantsetra,Madagascar,WMN,FMNR,"13","3",U,Indian/Antananarivo,49.688301,-15.4367
"933",Sambava Airport,Sambava,Madagascar,SVB,FMNS,"20","3",U,Indian/Antananarivo,50.174702,-14.2786
"934",Vohimarina Airport,Vohemar,Madagascar,VOH,FMNV,"19","3",U,Indian/Antananarivo,50.0028,-13.3758
"935",Ambalabe Airport,Antsohihy,Madagascar,WAI,FMNW,"92","3",U,Indian/Antananarivo,47.9939,-14.8988
"936",Ampampamena Airport,Ampampamena,Madagascar,IVA,FMNZ,"49","3",U,Indian/Antananarivo,48.632702,-13.484816
"937",Tôlanaro Airport,Tolagnaro,Madagascar,FTU,FMSD,"29","3",U,Indian/Antananarivo,46.9561,-25.038099
"938",Fianarantsoa Airport,Fianarantsoa,Madagascar,WFI,FMSF,"3658","3",U,Indian/Antananarivo,47.111698,-21.441601
"939",Farafangana Airport,Farafangana,Madagascar,RVA,FMSG,"26","3",U,Indian/Antananarivo,47.820599,-22.8053
"940",Manakara Airport,Manakara,Madagascar,WVK,FMSK,"33","3",U,Indian/Antananarivo,48.021702,-22.119699
"941",Mananjary Airport,Mananjary,Madagascar,MNJ,FMSM,"20","3",U,Indian/Antananarivo,48.358299,-21.201799
"942",Morombe Airport,Morombe,Madagascar,MXM,FMSR,"16","3",U,Indian/Antananarivo,43.3755,-21.753901
"943",Toliara Airport,Toliara,Madagascar,TLE,FMST,"29","3",U,Indian/Antananarivo,43.7285,-23.3834
"944",Mbanza Congo Airport,M'banza-congo,Angola,SSY,FNBC,"1860","1",N,Africa/Luanda,14.247,-6.2699
"945",Benguela Airport,Benguela,Angola,BUG,FNBG,"118","1",N,Africa/Luanda,13.4037,-12.609
"946",Cabinda Airport,Cabinda,Angola,CAB,FNCA,"66","1",N,Africa/Luanda,12.1884,-5.59699
"948",Nova Lisboa Airport,Huambo,Angola,NOV,FNHU,"5587","1",N,Africa/Luanda,15.7605,-12.8089
"949",Kuito Airport,Kuito,Angola,SVP,FNKU,"5618","1",N,Africa/Luanda,16.947399,-12.4046
"950",Lobito Airport,Lobito,Angola,\N,FNLB,"10","1",N,Africa/Luanda,13.5366,-12.3712
"951",Quatro de Fevereiro Airport,Luanda,Angola,LAD,FNLU,"243","1",N,Africa/Luanda,13.2312,-8.85837
"952",Malanje Airport,Malanje,Angola,MEG,FNMA,"3868","1",N,Africa/Luanda,16.312401,-9.52509
"953",Menongue Airport,Menongue,Angola,SPP,FNME,"4469","1",N,Africa/Luanda,17.719801,-14.6576
"955",Negage Airport,Negage,Angola,GXG,FNNG,"4105","1",N,Africa/Luanda,15.2877,-7.75451
"956",Porto Amboim Airport,Porto Amboim,Angola,PBN,FNPA,"16","1",N,Africa/Luanda,13.7655,-10.722
"957",Saurimo Airport,Saurimo,Angola,VHC,FNSA,"3584","1",N,Africa/Luanda,20.4319,-9.68907
"958",Soyo Airport,Soyo,Angola,SZA,FNSO,"15","1",N,Africa/Luanda,12.3718,-6.14109
"959",Lubango Airport,Lubango,Angola,SDD,FNUB,"5778","1",N,Africa/Luanda,13.575,-14.9247
"960",Luena Airport,Luena,Angola,LUO,FNUE,"4360","1",N,Africa/Luanda,19.897699,-11.7681
"961",Uige Airport,Uige,Angola,UGO,FNUG,"2720","1",N,Africa/Luanda,15.0278,-7.60307
"962",Xangongo Airport,Xangongo,Angola,XGN,FNXA,"3635","1",N,Africa/Luanda,14.9653,-16.7554
"963",Oyem Airport,Oyem,Gabon,OYE,FOGO,"2158","1",N,Africa/Libreville,11.5814,1.54311
"964",Okondja Airport,Okondja,Gabon,OKN,FOGQ,"1325","1",N,Africa/Libreville,13.6731,-0.665214
"965",Lambarene Airport,Lambarene,Gabon,LBQ,FOGR,"82","1",N,Africa/Libreville,10.2457,-0.704389
"966",Bitam Airport,Bitam,Gabon,BMM,FOOB,"1969","1",N,Africa/Libreville,11.4932,2.07564
"967",Port Gentil Airport,Port Gentil,Gabon,POG,FOOG,"13","1",N,Africa/Libreville,8.75438,-0.711739
"968",Omboue Hopital Airport,Omboue Hospial,Gabon,OMB,FOOH,"33","1",N,Africa/Libreville,9.26269,-1.57473
"969",Makokou Airport,Makokou,Gabon,MKU,FOOK,"1726","1",N,Africa/Libreville,12.8909,0.579211
"970",Libreville Leon M'ba International Airport,Libreville,Gabon,LBV,FOOL,"39","1",N,Africa/Libreville,9.41228,0.4586
"971",M'Vengue El Hadj Omar Bongo Ondimba International Airport,Franceville,Gabon,MVB,FOON,"1450","1",N,Africa/Libreville,13.438,-1.65616
